"STATION","NAME","DATE","TAVG"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-01","39"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-02","45"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-03","48"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-04","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-05","45"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-06","41"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-07","43"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-08","40"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-09","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-10","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-11","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-12","45"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-13","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-14","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-15","48"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-16","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-17","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-18","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-19","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-20","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-21","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-22","53"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-23","49"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-24","45"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-25","46"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-26","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-27","47"
"USR0000CTRM","TRIMMER CALIFORNIA, CA US","2016-01-28","48"
